url,title,year,mileage,transmission,color,description,volume,engine,acceleration,fuel,price
/car/detail-1h8otjzi-samand-lx-ef7-1390,سمند، LX,1390,"310,000 km",دنده ای,سرمه ای / داخل کرم,ماشین بسیار تمیز بوده فقط سمت شاگرد و کاپوت رنگ می باشد که به اسم دور رنگ به فروش میرسد . موتور EF7 مولتی پلکس . تعویضی ها به موقع انجام شده دارای رینگ اسپرت . شاسی ها سقف و ستون بدون ضریه و رنگ,1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"650,000,000"
/car/detail-rvqzalbm-samand-lx-ef7cng-1391,سمند، LX,1391,"344,000 km",دنده ای,سفید / داخل قهوه ای,خودروی دوگانه شرکتی موتور تازه تعمیر و به شرط,1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"635,000,000"
/car/detail-1iuoxoxm-samand-lx-ef7cng-1400,سمند، LX,1400,"95,000 km",دنده ای,سفید / داخل زیتونی,درب راننده از رو رنگ .بیمه نو روکش وی آی پی کف پوش دوربین ثبت وقایع پخش اندروید یک جفت باند حرفه ای آمپلی فایر و دوربین عقب.تنام مسیرهای رادیاتور موتور کولر و بخاری با اینکه هیچ مشکلی نداشت دادم صفر شویی شده تمام مصرفیها شب عید تعویض کردم از زیر بندی و کمک تا فشنگی .با ضمانت سلامت فنی میفروشم,1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"1,250,000,000"
/car/detail-5csu3rbw-samand-lx-basic-1395,سمند، LX,1395,"332,000 km",دنده ای,سفید / داخل کرم,"فنی سالم 
موتور و گیربکس سالم 
سوزن ها به تازگی شسته شده 
بدون دود ، روغن سوزی و روغن ریزی 
سقف و ستون بدون رنگ
اطراف خودرو دارای تیکه های رنگ و تعویض که به عنوان دوررنگ فروخته می شود 
شاسی ها سالم فقط سرشاسی سمت شاگرد جزئی خوردگی و رنگ دارد 
روکش صندلی 
دزدگیر 
سنسور دنده عقب 
سنسور پارک 
شیشه برقی 
آیینه برقی 
صندلی برقی 
ضبط بلوتوثی 
کفی سه بعدی 
اطلاعات بیشتر تماس بگیرید",1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"688,000,000"
/car/detail-7jsjlvex-samand-lx-ef7cng-1395,سمند، LX,1395,صفر کیلومتر,دنده ای,سفید / داخل کرم,"سمند موتور ملی دوگانه سوز کارخانه مدل ۹۵ 
منیفولد چدنی هست 
اتاق تازه تعویض شده 
خودرو کاملا صفر میباشد همان طور که در عکس مشخص است 
موتور سالم در حد صفر
تمام قطعات مصرفی (نو)
اتاق کاملا صدا گیری شده و تو دری ها کاملا موم پاشی شده 
که در هیچ یک از خودرو هایه صفر نمیباشد 
بیمه تا برج ۸ 
سند اماده انتقال 
لاستیک ها 80%",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"865,000,000"
/car/detail-3raltv71-samand-lx-basic-1394,سمند، LX,1394,"370,000 km",دنده ای,سفید / داخل -,,1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"720,000,000"
/car/detail-dwhj8tab-samand-lx-basic-1394,سمند، LX,1394,"300,000 km",دنده ای,سفید / داخل سرمه ای,"سمند بی رنگ
تمیزو مرتب
تمام مصرفی ها تعویض شده
لاستیک ها70درصد
شاستی عقب پشت چراغ قرمز ضربه جزئی ترافیکی داشته",1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"760,000,000"
/car/detail-laejy3fz-samand-lx-ef7cng-1396,سمند، LX,1396,"320,000 km",دنده ای,سفید / داخل -,"ماشین تر و تمیزه 
یه چندتادونه خش خیلی جزی داره که خیلی مشخص نیست 
تصاویر گویای همه چیز است 
تخفیف جزئی پای معامله",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"875,000,000"
/car/detail-hz5xes7m-samand-lx-basic-1395,سمند، LX,1395,"180,000 km",دنده ای,سفید / داخل کرم,"مدل ۹۵ مولتی پلکس
 بیمه تا برج 5
کلیه سرویس ها انجام شده 
تسمه تایم و شمع و وایر 
باطری یک‌ماهه تعویض 
جلوبندی تازه تعمیر
لاستیک ۱۰۰ درصد",1.8 لیتر,4 سیلندر XU7,13.1 ثانیه,8.3 لیتر در صد کیلومتر,"1,050,000,000"
/car/detail-szphhmei-samand-lx-ef7cng-1399,سمند، LX,1399,"180,000 km",دنده ای,سفید / داخل -,"ماشین درجه ۱
تعویضی‌ها همه به موقع
لاستیک‌ها همه نو هستند
تعمیرات انجام شده
لنت‌ها همه تازه عوض شدند
تازه بیمه شخص ثالث شده(دارای بیمه یک ساله)
پا به رکاب
تخفیف پای معامله",1.7 لیتر,4 سیلندر EF7,12 ثانیه,7.5 لیتر در صد کیلومتر,"1,460,000,000"
